TotalPurchase,CustomerAge,CustomerBday,FirstOrderMonths,FirstOrderDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
15.4900,40,1981-09-22,83,2019-06-21,M,75001-100000,F,5,Graduate Degree,Management,1,3
20.0000,28,1993-10-12,83,2019-06-21,M,25001-50000,M,0,Partial College,Skilled Manual,0,1
559.8100,31,1990-05-27,83,2019-06-21,S,25001-50000,M,0,High School,Skilled Manual,0,2
30.0000,59,1963-03-09,83,2019-06-21,M,greater than 100000,F,4,High School,Management,1,3
13.0100,48,1973-07-27,83,2019-06-21,S,75001-100000,F,4,Graduate Degree,Skilled Manual,1,0
6.4900,42,1980-02-11,83,2019-06-21,S,25001-50000,F,3,"Bachelors ",Skilled Manual,0,1
531.0000,45,1977-03-09,83,2019-06-21,S,50001-75000,F,1,"Bachelors ",Professional,1,1
20.0100,61,1960-09-02,83,2019-06-21,S,50001-75000,F,5,"Bachelors ",Management,0,2
522.4900,26,1995-07-26,83,2019-06-21,M,0-25000,F,0,"Bachelors ",Clerical,0,0
1651.0000,37,1984-11-26,83,2019-06-21,S,50001-75000,F,1,Graduate Degree,Professional,1,0
2301.9600,50,1971-04-27,83,2019-06-20,S,50001-75000,F,3,Partial College,Professional,1,1
2324.4800,55,1967-02-26,83,2019-06-20,M,75001-100000,F,4,Partial College,Professional,1,2
2.7000,36,1985-06-09,83,2019-06-20,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,1
21.9800,35,1986-04-16,83,2019-06-20,M,50001-75000,F,1,Graduate Degree,Skilled Manual,1,0
1726.9900,37,1984-05-06,83,2019-06-20,S,0-25000,M,2,High School,Manual,1,0
61.0000,65,1957-01-09,83,2019-06-20,M,50001-75000,F,3,Graduate Degree,Management,1,2
2375.0800,28,1994-02-02,83,2019-06-20,S,0-25000,M,0,"Bachelors ",Clerical,1,0
4.9900,32,1989-05-12,83,2019-06-20,S,0-25000,M,0,Partial High School,Manual,0,2
14.9800,37,1984-08-03,83,2019-06-20,M,0-25000,M,0,Partial College,Manual,0,1
47.4800,36,1985-07-11,83,2019-06-20,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,1
505.0000,42,1979-05-08,83,2019-06-20,S,50001-75000,F,4,"Bachelors ",Skilled Manual,0,2
4.9900,39,1982-06-11,83,2019-06-20,M,25001-50000,F,5,High School,Skilled Manual,0,3
2471.9900,34,1987-06-14,83,2019-06-20,S,50001-75000,F,2,Graduate Degree,Professional,1,0
2306.9800,51,1970-09-13,83,2019-06-20,M,75001-100000,F,3,Partial College,Professional,1,1
2314.6800,51,1970-11-05,83,2019-06-20,M,75001-100000,M,2,High School,Professional,1,2
518.9800,63,1958-06-09,83,2019-06-20,S,25001-50000,M,1,"Bachelors ",Clerical,0,0
1140.4800,47,1974-12-14,83,2019-06-20,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
551.6800,42,1979-10-17,83,2019-06-20,M,50001-75000,M,4,"Bachelors ",Skilled Manual,1,2
9.9900,37,1984-05-23,83,2019-06-20,M,50001-75000,M,5,Graduate Degree,Professional,1,2
539.9900,36,1985-10-24,83,2019-06-20,M,25001-50000,F,0,"Bachelors ",Clerical,0,0
2260.0000,53,1968-07-01,83,2019-06-20,M,75001-100000,F,3,Partial College,Professional,1,1
10.0100,51,1970-11-23,83,2019-06-20,M,50001-75000,F,4,High School,Professional,1,0
23.0200,47,1974-11-24,83,2019-06-20,M,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
539.9900,36,1985-05-06,83,2019-06-20,S,25001-50000,M,0,"Bachelors ",Clerical,0,0
161.0000,49,1972-06-27,83,2019-06-20,S,25001-50000,M,2,High School,Skilled Manual,0,2
1120.4900,27,1994-07-18,83,2019-06-20,S,0-25000,M,4,High School,Manual,1,3
559.1900,43,1978-04-27,83,2019-06-20,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,0
1066.5000,38,1984-03-27,83,2019-06-20,S,50001-75000,M,0,Graduate Degree,Skilled Manual,0,0
7.0300,46,1975-06-15,83,2019-06-20,S,0-25000,F,1,High School,Manual,0,1
2308.9800,38,1984-01-26,83,2019-06-20,M,50001-75000,M,5,Graduate Degree,Professional,1,0
40.9600,58,1963-05-22,83,2019-06-20,M,25001-50000,F,2,High School,Professional,0,2
20.0100,51,1971-03-04,83,2019-06-20,M,50001-75000,M,3,Partial College,Professional,0,2
69.9900,45,1976-11-25,83,2019-06-20,M,25001-50000,F,4,High School,Skilled Manual,0,3
2289.9900,54,1967-11-11,83,2019-06-20,M,50001-75000,F,5,Partial High School,Skilled Manual,1,2
1.7000,42,1979-07-10,83,2019-06-20,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,0
30.3100,29,1992-07-06,83,2019-06-20,S,25001-50000,F,5,Partial College,Clerical,0,3
9.5100,59,1962-08-08,83,2019-06-20,M,0-25000,M,2,Partial High School,Clerical,1,2
1099.4800,38,1984-03-24,83,2019-06-20,S,50001-75000,F,0,Graduate Degree,Skilled Manual,1,0
1745.9900,44,1977-07-06,83,2019-06-20,S,greater than 100000,F,1,Partial College,Professional,1,4
4.9900,52,1969-08-06,83,2019-06-20,M,25001-50000,F,1,High School,Clerical,1,1
30.0000,62,1960-02-10,83,2019-06-20,S,75001-100000,M,5,Partial College,Professional,0,2
31.0000,59,1962-08-05,83,2019-06-19,S,75001-100000,M,3,Partial High School,Professional,0,0
73.6000,51,1971-01-18,83,2019-06-19,M,50001-75000,F,4,Partial College,Professional,1,0
736.4800,43,1978-04-03,83,2019-06-19,S,50001-75000,F,4,"Bachelors ",Professional,0,2
151.7200,65,1956-07-23,83,2019-06-19,M,greater than 100000,F,2,Graduate Degree,Management,1,3
3.9900,30,1992-03-04,83,2019-06-19,S,50001-75000,F,0,Partial College,Skilled Manual,0,2
35.0000,37,1985-01-22,83,2019-06-19,S,25001-50000,M,0,Graduate Degree,Skilled Manual,0,0
2.7000,36,1985-10-10,83,2019-06-19,M,25001-50000,M,2,Partial College,Clerical,1,2
2329.3200,64,1957-05-10,83,2019-06-19,M,50001-75000,M,5,"Bachelors ",Management,1,2
2298.0100,38,1983-11-15,83,2019-06-19,S,50001-75000,M,0,"Bachelors ",Professional,0,1
21.0000,53,1968-08-22,83,2019-06-19,S,50001-75000,M,3,Partial High School,Skilled Manual,1,2
2292.7000,44,1977-05-19,83,2019-06-19,M,75001-100000,M,1,Partial College,Professional,1,3
13.0000,38,1983-07-27,83,2019-06-19,M,greater than 100000,M,2,"Bachelors ",Management,1,4
537.9600,33,1989-03-12,83,2019-06-19,S,25001-50000,F,3,Partial College,Clerical,1,1
29.9900,47,1974-09-07,83,2019-06-19,M,50001-75000,M,4,"Bachelors ",Professional,1,0
530.4800,44,1977-10-10,83,2019-06-19,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
734.4000,62,1959-05-18,83,2019-06-19,S,25001-50000,M,4,High School,Professional,1,2
1710.4800,35,1986-05-26,83,2019-06-19,M,50001-75000,M,1,Graduate Degree,Skilled Manual,1,0
2.9600,42,1979-10-24,83,2019-06-19,S,50001-75000,M,0,"Bachelors ",Professional,0,1
45.0000,46,1975-09-21,83,2019-06-19,S,greater than 100000,M,1,Partial College,Professional,0,3
31.0000,55,1966-08-23,83,2019-06-19,S,greater than 100000,M,4,"Bachelors ",Management,0,3
4.0000,54,1967-07-20,83,2019-06-19,M,50001-75000,F,2,High School,Professional,1,2
21.4900,42,1979-04-05,83,2019-06-19,M,50001-75000,F,4,"Bachelors ",Professional,1,2
802.1800,37,1984-08-20,83,2019-06-19,M,25001-50000,M,0,Graduate Degree,Clerical,1,0
2299.9900,50,1971-07-27,83,2019-06-19,M,50001-75000,F,3,Partial College,Professional,1,0
8.9900,29,1992-05-27,83,2019-06-19,S,25001-50000,F,0,Partial College,Clerical,0,1
2379.9700,42,1979-07-06,83,2019-06-19,S,25001-50000,M,4,"Bachelors ",Skilled Manual,1,3
1066.5000,52,1969-06-05,83,2019-06-19,M,0-25000,F,2,Partial College,Manual,1,1
1666.0000,45,1976-05-09,83,2019-06-19,S,75001-100000,F,4,High School,Professional,1,1
30.9900,36,1986-02-20,83,2019-06-19,S,0-25000,F,0,Partial High School,Manual,1,2
1666.0000,48,1973-08-13,83,2019-06-19,S,25001-50000,M,1,"Bachelors ",Clerical,1,0
30.0000,77,1945-01-03,83,2019-06-19,M,25001-50000,F,1,Graduate Degree,Skilled Manual,1,0
1085.5000,31,1990-11-01,83,2019-06-19,S,25001-50000,F,0,High School,Skilled Manual,0,2
32.6900,69,1952-04-16,83,2019-06-19,M,50001-75000,F,3,Graduate Degree,Management,1,2
15.4900,62,1959-04-21,83,2019-06-19,M,25001-50000,F,4,High School,Professional,1,2
2307.9800,41,1980-10-21,83,2019-06-19,S,75001-100000,F,3,"Bachelors ",Skilled Manual,1,3
27.0300,49,1972-04-15,83,2019-06-19,S,greater than 100000,F,2,High School,Professional,0,4
707.3600,45,1976-04-07,83,2019-06-19,S,0-25000,M,1,Partial College,Manual,0,0
14.0000,39,1982-09-07,83,2019-06-19,S,50001-75000,F,2,"Bachelors ",Skilled Manual,1,1
28.0100,51,1970-11-28,83,2019-06-19,M,50001-75000,F,4,High School,Professional,0,0
2.7000,49,1972-11-23,83,2019-06-18,M,75001-100000,F,2,Partial College,Professional,1,1
4.0000,31,1990-05-13,83,2019-06-18,M,25001-50000,F,0,High School,Skilled Manual,1,1
20.0100,54,1967-08-19,83,2019-06-18,S,75001-100000,F,3,Partial College,Professional,1,4
498.9800,42,1979-06-10,83,2019-06-18,M,75001-100000,F,5,Partial College,Professional,0,1
4.9900,39,1982-11-17,83,2019-06-18,S,25001-50000,F,0,"Bachelors ",Professional,0,1
564.9900,37,1984-11-20,83,2019-06-18,M,75001-100000,F,3,Graduate Degree,Professional,1,0
16.0000,49,1972-10-12,83,2019-06-18,M,25001-50000,F,2,High School,Skilled Manual,1,2
1099.4800,33,1988-10-21,83,2019-06-18,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,1
31.0000,33,1989-03-23,83,2019-06-18,S,0-25000,M,0,Partial High School,Manual,1,2
53.9900,35,1986-07-09,83,2019-06-18,S,0-25000,F,0,Partial High School,Manual,0,2
5.0100,55,1966-11-18,83,2019-06-18,M,25001-50000,F,3,Partial College,Professional,1,2
1066.5000,44,1978-01-01,83,2019-06-18,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,0
524.9900,32,1989-04-21,83,2019-06-18,S,50001-75000,M,0,Partial College,Professional,0,2
1723.6900,34,1987-07-04,83,2019-06-18,M,50001-75000,F,1,Graduate Degree,Professional,1,0
32.6900,33,1988-08-03,83,2019-06-18,M,25001-50000,F,0,Graduate Degree,Skilled Manual,1,0
2357.9500,50,1971-05-24,83,2019-06-18,S,50001-75000,F,3,Partial College,Professional,1,2
4.9900,30,1991-07-20,83,2019-06-18,M,25001-50000,M,0,High School,Skilled Manual,1,2
569.9900,36,1985-06-21,83,2019-06-18,S,50001-75000,M,4,Graduate Degree,Professional,1,0
11.0100,53,1968-07-15,83,2019-06-18,M,0-25000,F,2,High School,Manual,1,2
27.6900,58,1963-11-28,83,2019-06-18,S,25001-50000,M,4,High School,Professional,0,2
2376.9600,50,1971-07-09,83,2019-06-18,M,50001-75000,F,3,Partial College,Professional,0,2
0.5200,40,1982-02-21,83,2019-06-18,M,0-25000,M,3,High School,Manual,1,1
69.9900,44,1977-12-10,83,2019-06-18,M,greater than 100000,M,1,"Bachelors ",Management,1,3
19.2000,32,1989-10-19,83,2019-06-18,S,75001-100000,F,0,"Bachelors ",Professional,1,3
2310.0000,67,1954-08-19,83,2019-06-18,M,50001-75000,M,5,Graduate Degree,Management,1,2
13.0100,39,1982-05-04,83,2019-06-18,S,0-25000,M,1,Partial College,Manual,0,1
531.0000,42,1979-07-22,83,2019-06-18,S,25001-50000,F,0,"Bachelors ",Professional,0,1
505.0000,54,1967-09-27,83,2019-06-18,S,50001-75000,M,2,High School,Professional,0,2
26.9100,31,1990-05-25,83,2019-06-18,M,25001-50000,M,0,High School,Skilled Manual,1,2
1.6000,28,1993-04-06,83,2019-06-18,S,25001-50000,F,0,Partial College,Skilled Manual,0,1
44.4800,44,1977-10-07,83,2019-06-18,M,75001-100000,F,5,Partial College,Professional,1,4
19.2000,32,1989-08-16,83,2019-06-18,S,50001-75000,M,0,"Bachelors ",Professional,1,4
1696.9900,49,1972-10-06,83,2019-06-18,M,greater than 100000,M,2,"Bachelors ",Management,1,3
4.9900,38,1983-07-06,83,2019-06-18,M,0-25000,F,2,High School,Manual,1,1
2307.6800,66,1956-03-02,83,2019-06-18,S,50001-75000,M,5,Graduate Degree,Management,1,2
5.0100,51,1970-05-04,83,2019-06-18,S,75001-100000,M,2,Partial High School,Skilled Manual,1,2
30.0000,52,1969-06-17,83,2019-06-18,S,50001-75000,M,2,Partial High School,Skilled Manual,0,2
6.0100,35,1986-04-04,83,2019-06-18,S,0-25000,F,0,Partial High School,Manual,1,2
5.0000,35,1986-11-04,83,2019-06-18,S,50001-75000,M,1,Graduate Degree,Skilled Manual,1,0
37.7000,67,1954-04-27,83,2019-06-18,M,25001-50000,F,2,Partial College,Clerical,0,2
2330.5000,36,1985-09-17,83,2019-06-18,M,50001-75000,M,4,Graduate Degree,Professional,1,0
2266.9800,38,1983-07-05,83,2019-06-18,M,50001-75000,M,2,"Bachelors ",Skilled Manual,1,0
37.7000,28,1994-02-06,83,2019-06-18,M,0-25000,M,0,Partial College,Manual,1,1
31.0000,28,1993-05-25,83,2019-06-18,S,25001-50000,F,0,High School,Manual,1,1
61.0000,71,1950-07-08,83,2019-06-18,M,25001-50000,M,3,Partial College,Professional,0,2
741.3400,49,1973-03-07,83,2019-06-18,S,0-25000,M,2,Partial College,Manual,0,1
4.0000,32,1989-06-22,83,2019-06-17,S,0-25000,M,0,Partial High School,Manual,0,2
16.4900,58,1963-06-19,83,2019-06-17,M,50001-75000,M,2,Partial College,Professional,1,2
1.0100,29,1992-05-10,83,2019-06-17,S,25001-50000,F,0,Partial College,Skilled Manual,1,2
34.9900,51,1970-07-24,83,2019-06-17,S,0-25000,F,3,Partial High School,Clerical,0,2
96.2200,65,1956-06-25,83,2019-06-17,M,0-25000,M,1,Partial College,Manual,0,0
505.0000,36,1985-04-08,83,2019-06-17,S,25001-50000,F,0,"Bachelors ",Clerical,0,0
2285.0000,42,1979-11-29,83,2019-06-17,S,25001-50000,M,4,"Bachelors ",Skilled Manual,0,2
9.5100,41,1980-11-04,83,2019-06-17,M,25001-50000,M,3,"Bachelors ",Skilled Manual,1,2
1651.0000,42,1979-09-09,83,2019-06-17,S,25001-50000,M,0,"Bachelors ",Professional,0,1
557.4900,26,1995-11-02,83,2019-06-17,S,25001-50000,M,0,High School,Skilled Manual,0,2
2.9600,51,1971-03-15,83,2019-06-17,S,75001-100000,M,2,Partial High School,Skilled Manual,0,2
21.9800,26,1995-05-07,83,2019-06-17,S,25001-50000,M,0,High School,Skilled Manual,0,2
2.7000,37,1984-08-11,83,2019-06-17,S,50001-75000,M,1,Graduate Degree,Professional,1,0
2273.0100,29,1992-09-21,83,2019-06-17,S,50001-75000,M,0,Partial College,Skilled Manual,1,2
21.4900,35,1987-02-21,83,2019-06-17,S,0-25000,M,0,Partial High School,Manual,1,2
529.4800,42,1979-05-25,83,2019-06-17,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,0
1085.5000,49,1972-10-18,83,2019-06-17,M,50001-75000,M,2,High School,Professional,0,2
32.6900,32,1989-05-05,83,2019-06-17,S,0-25000,M,0,Partial High School,Manual,0,2
1179.8600,53,1968-09-16,83,2019-06-17,M,0-25000,M,2,High School,Manual,0,2
1664.9800,36,1986-02-15,83,2019-06-17,M,50001-75000,M,1,Graduate Degree,Professional,1,0
14.9800,46,1976-02-04,83,2019-06-17,S,0-25000,M,1,Partial College,Manual,0,0
7.9500,51,1970-10-05,83,2019-06-17,S,0-25000,F,3,Partial High School,Clerical,0,2
2349.0800,43,1978-08-09,83,2019-06-17,M,50001-75000,M,3,Graduate Degree,Professional,0,0
17.5000,38,1983-09-11,83,2019-06-17,M,75001-100000,F,3,"Bachelors ",Management,1,3
1160.8600,52,1969-08-18,83,2019-06-17,S,0-25000,F,2,Partial College,Manual,1,1
2324.9900,54,1967-07-13,83,2019-06-17,S,75001-100000,M,4,Partial College,Professional,0,2
53.9900,28,1993-09-07,83,2019-06-17,M,25001-50000,M,3,Partial College,Clerical,1,2
1095.5000,29,1992-08-04,83,2019-06-17,S,25001-50000,F,5,Partial College,Clerical,1,1
4.0000,49,1973-03-18,83,2019-06-17,S,75001-100000,F,4,Graduate Degree,Skilled Manual,0,0
1651.0000,55,1966-10-27,83,2019-06-17,M,50001-75000,F,2,Partial College,Professional,1,2
1066.5000,32,1989-08-17,83,2019-06-17,S,25001-50000,F,0,Partial College,Clerical,0,1
16.0000,41,1980-06-03,83,2019-06-17,M,75001-100000,M,5,"Bachelors ",Professional,1,4
2285.0000,54,1967-11-22,83,2019-06-17,M,75001-100000,F,4,Partial College,Professional,0,2
498.4700,38,1983-11-21,83,2019-06-16,M,25001-50000,M,0,Graduate Degree,Clerical,1,0
2330.9500,61,1961-03-18,83,2019-06-16,S,greater than 100000,M,4,"Bachelors ",Management,1,0
69.9900,56,1965-05-16,83,2019-06-16,M,25001-50000,F,2,Partial High School,Skilled Manual,1,2
2408.0700,27,1994-10-18,83,2019-06-16,S,25001-50000,F,0,High School,Skilled Manual,0,2
513.9900,48,1974-03-07,83,2019-06-16,S,0-25000,F,2,Partial College,Manual,0,1
2373.5600,39,1982-09-24,83,2019-06-16,S,25001-50000,M,0,"Bachelors ",Professional,1,0
34.5200,79,1942-07-20,83,2019-06-16,S,25001-50000,F,1,Partial College,Manual,1,1
30.0000,72,1949-04-19,83,2019-06-16,M,50001-75000,F,2,Graduate Degree,Management,1,2
2.7000,58,1964-03-19,83,2019-06-16,S,50001-75000,F,2,Partial College,Professional,1,2
13.0000,32,1989-06-21,83,2019-06-16,S,0-25000,F,0,Partial High School,Manual,0,2
19.6900,48,1973-10-05,83,2019-06-16,S,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
25.0000,33,1989-03-16,83,2019-06-16,S,25001-50000,F,0,Partial College,Skilled Manual,1,1
2259.9800,49,1972-07-24,83,2019-06-16,S,50001-75000,F,3,Partial College,Professional,1,0
34.9900,52,1970-01-07,83,2019-06-16,S,0-25000,F,3,Partial High School,Clerical,0,2
505.0000,51,1970-10-20,83,2019-06-16,M,25001-50000,M,1,High School,Clerical,0,2
733.3600,46,1975-06-09,83,2019-06-16,M,25001-50000,F,3,"Bachelors ",Clerical,1,0
34.9900,31,1991-03-05,83,2019-06-16,S,0-25000,M,0,High School,Manual,0,1
4.9900,31,1990-09-22,83,2019-06-16,M,50001-75000,M,0,Partial College,Skilled Manual,1,2
2349.0800,39,1982-05-02,83,2019-06-16,S,25001-50000,F,1,"Bachelors ",Clerical,0,0
12.9900,67,1954-11-03,83,2019-06-16,M,25001-50000,F,2,"Bachelors ",Management,1,2
4.9900,62,1959-12-11,83,2019-06-16,M,50001-75000,F,5,High School,Professional,0,2
2322.9600,60,1961-06-07,83,2019-06-16,M,greater than 100000,F,4,"Bachelors ",Management,1,4
25.0000,42,1979-05-24,83,2019-06-16,S,50001-75000,M,4,"Bachelors ",Professional,1,3
5.0000,43,1978-11-17,83,2019-06-16,M,50001-75000,M,4,"Bachelors ",Professional,0,3
2260.0000,33,1988-10-18,83,2019-06-16,S,25001-50000,M,0,Graduate Degree,Skilled Manual,0,0
69.9900,30,1991-10-22,83,2019-06-16,M,25001-50000,M,0,High School,Skilled Manual,1,2
2294.9900,67,1954-05-20,83,2019-06-16,M,75001-100000,M,4,Graduate Degree,Management,0,2
31.6900,50,1972-03-26,83,2019-06-16,M,75001-100000,M,2,Partial College,Professional,1,4
24.0000,27,1995-02-23,83,2019-06-16,S,0-25000,M,0,Partial High School,Manual,0,2
69.9900,50,1971-05-12,83,2019-06-16,M,0-25000,M,2,Partial College,Manual,1,0
30.9900,30,1991-09-20,83,2019-06-16,S,0-25000,M,0,Partial High School,Manual,0,1
2.7000,51,1970-05-14,83,2019-06-16,S,0-25000,M,3,Partial High School,Clerical,0,2
1220.8800,44,1977-08-22,83,2019-06-16,S,25001-50000,F,5,Graduate Degree,Clerical,1,0
4.9900,32,1989-08-25,83,2019-06-16,S,50001-75000,F,0,Partial College,Professional,1,2
30.0000,39,1983-02-15,83,2019-06-16,M,75001-100000,M,5,"Bachelors ",Professional,1,4
539.9900,27,1994-10-17,83,2019-06-16,S,25001-50000,F,0,High School,Skilled Manual,0,2
539.9900,45,1976-06-24,83,2019-06-16,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
2178.2700,70,1951-05-05,83,2019-06-16,M,50001-75000,M,4,Graduate Degree,Management,1,2
98.0200,54,1968-03-22,83,2019-06-16,M,50001-75000,M,3,Graduate Degree,Management,0,2
19.8200,68,1953-09-06,83,2019-06-16,M,25001-50000,M,2,"Bachelors ",Management,0,2
1085.5000,34,1987-11-18,83,2019-06-16,S,25001-50000,M,1,Partial College,Clerical,0,1
2324.9900,44,1978-03-13,83,2019-06-16,S,50001-75000,M,4,"Bachelors ",Professional,0,2
1085.5000,45,1976-05-21,83,2019-06-16,M,25001-50000,F,3,Graduate Degree,Clerical,1,0
2.7000,36,1986-02-08,83,2019-06-16,S,50001-75000,F,1,Graduate Degree,Skilled Manual,1,0
24.9900,52,1969-08-21,83,2019-06-16,S,greater than 100000,M,3,Partial College,Professional,0,4
22.7000,41,1981-03-10,83,2019-06-16,S,50001-75000,M,0,Graduate Degree,Professional,0,0
39.0100,56,1965-12-20,83,2019-06-16,S,75001-100000,M,3,"Bachelors ",Management,1,1
12.5000,41,1980-06-10,84,2019-06-15,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,2
1085.5000,46,1976-03-23,84,2019-06-15,M,50001-75000,M,1,Partial College,Skilled Manual,0,1
1671.4900,54,1968-01-24,84,2019-06-15,M,50001-75000,F,3,Graduate Degree,Management,1,2
1214.8500,58,1963-11-21,84,2019-06-15,S,0-25000,M,2,Partial High School,Clerical,1,2
14.0100,32,1989-08-27,84,2019-06-15,M,50001-75000,M,0,"Bachelors ",Professional,1,3
28.0200,70,1951-09-21,84,2019-06-15,S,greater than 100000,F,1,Graduate Degree,Management,0,4
2.7000,57,1964-08-26,84,2019-06-15,M,greater than 100000,F,4,Partial College,Management,1,3
69.9900,52,1969-10-16,84,2019-06-15,M,75001-100000,M,2,Partial High School,Skilled Manual,0,2
32.0100,31,1990-09-17,84,2019-06-15,M,25001-50000,M,0,Partial College,Skilled Manual,1,2
1676.5000,39,1982-10-26,84,2019-06-15,S,25001-50000,M,0,"Bachelors ",Professional,0,1
42.9700,33,1988-10-13,84,2019-06-15,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,1
1225.4600,42,1979-09-20,84,2019-06-15,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,0
1676.0000,31,1990-07-16,84,2019-06-15,S,25001-50000,F,0,High School,Skilled Manual,0,2
1120.4900,46,1975-09-21,84,2019-06-15,M,50001-75000,M,1,Partial College,Skilled Manual,0,1
719.5000,38,1984-02-12,84,2019-06-15,S,25001-50000,F,0,Graduate Degree,Skilled Manual,0,0
1666.0000,36,1985-09-08,84,2019-06-15,S,0-25000,M,0,Partial College,Manual,1,1
20.0100,59,1962-06-22,84,2019-06-15,M,50001-75000,M,2,Partial College,Professional,1,1
2375.0800,45,1976-10-10,84,2019-06-15,M,50001-75000,M,1,Partial College,Skilled Manual,0,1
2281.9800,37,1984-06-08,84,2019-06-15,S,50001-75000,F,5,Graduate Degree,Professional,1,0
527.4900,38,1984-03-07,84,2019-06-15,S,25001-50000,M,0,"Bachelors ",Clerical,0,0
4.9900,59,1962-05-11,84,2019-06-15,M,50001-75000,M,2,Partial College,Professional,1,1
6.0100,44,1977-08-20,84,2019-06-15,M,50001-75000,F,5,"Bachelors ",Professional,1,2
45.0000,50,1972-02-21,84,2019-06-15,M,25001-50000,M,2,High School,Skilled Manual,1,2
565.9900,36,1985-09-24,84,2019-06-15,S,0-25000,F,0,Partial College,Manual,0,1
25.0000,79,1942-08-06,84,2019-06-15,M,25001-50000,M,1,"Bachelors ",Clerical,1,1
52.0300,56,1965-06-11,84,2019-06-15,M,0-25000,M,2,Partial High School,Clerical,1,2
82.7100,68,1953-08-02,84,2019-06-15,S,25001-50000,M,2,"Bachelors ",Management,1,2
1666.0000,43,1979-03-19,84,2019-06-15,S,50001-75000,F,4,"Bachelors ",Skilled Manual,0,2
1085.5000,44,1978-03-22,84,2019-06-15,M,25001-50000,M,1,"Bachelors ",Skilled Manual,1,0
1651.0000,37,1985-03-05,84,2019-06-15,S,0-25000,M,0,Partial College,Manual,0,1
62.9600,47,1974-05-15,84,2019-06-15,S,50001-75000,F,4,Graduate Degree,Skilled Manual,1,0
4.9900,32,1989-07-16,84,2019-06-15,S,25001-50000,M,3,Partial College,Clerical,1,1
2.7000,43,1979-03-06,84,2019-06-15,S,0-25000,F,3,High School,Manual,1,0
2264.9800,45,1976-08-07,84,2019-06-15,M,greater than 100000,M,1,"Bachelors ",Management,0,3
69.9900,28,1993-09-04,84,2019-06-15,M,25001-50000,M,0,High School,Skilled Manual,1,2
2287.9800,62,1959-04-27,84,2019-06-15,S,75001-100000,F,5,Partial College,Professional,0,2
5.0000,59,1962-05-25,84,2019-06-15,M,75001-100000,M,5,Partial High School,Skilled Manual,0,2
14.9900,37,1984-09-16,84,2019-06-15,M,50001-75000,M,1,Graduate Degree,Professional,1,0
1721.9900,35,1986-10-02,84,2019-06-15,M,50001-75000,M,1,Graduate Degree,Professional,1,0
1666.0000,41,1981-03-15,84,2019-06-15,S,50001-75000,M,0,Graduate Degree,Professional,1,0
20.5000,42,1979-07-15,84,2019-06-15,M,0-25000,M,2,High School,Manual,1,2
30.0000,49,1972-06-06,84,2019-06-15,S,greater than 100000,M,2,Partial College,Professional,1,3
69.9900,42,1980-03-11,84,2019-06-15,M,75001-100000,F,5,"Bachelors ",Professional,1,4
1.0100,52,1969-05-11,84,2019-06-15,S,25001-50000,M,1,High School,Clerical,0,1
21.9700,29,1992-05-26,84,2019-06-15,S,25001-50000,F,0,High School,Skilled Manual,0,2
1700.9900,53,1968-04-02,84,2019-06-15,M,50001-75000,M,3,Graduate Degree,Management,0,2
1711.4900,35,1987-03-23,84,2019-06-15,M,25001-50000,M,1,Graduate Degree,Skilled Manual,1,0
505.0000,44,1977-09-06,84,2019-06-15,M,50001-75000,F,1,"Bachelors ",Professional,1,1
1647.0000,59,1962-04-24,84,2019-06-15,M,50001-75000,F,5,"Bachelors ",Management,0,3
1184.9800,39,1982-07-27,84,2019-06-15,S,50001-75000,F,0,Graduate Degree,Professional,1,1
5.5100,35,1986-12-12,84,2019-06-15,S,50001-75000,F,1,Graduate Degree,Professional,1,0
1099.4800,47,1974-04-17,84,2019-06-15,M,25001-50000,F,3,Graduate Degree,Clerical,1,0
21.9800,50,1972-01-02,84,2019-06-15,M,50001-75000,F,2,High School,Professional,0,2
2336.5100,65,1956-08-21,84,2019-06-15,M,50001-75000,F,5,Graduate Degree,Management,1,2
9.5100,31,1990-05-22,84,2019-06-15,S,25001-50000,F,0,Partial College,Clerical,0,1
1210.8500,50,1972-02-15,84,2019-06-15,M,0-25000,F,2,Partial High School,Clerical,0,2
529.4800,47,1974-10-09,84,2019-06-14,S,25001-50000,M,3,Graduate Degree,Clerical,1,0
1141.4900,36,1985-07-02,84,2019-06-14,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,1
62.0200,42,1979-12-27,84,2019-06-14,M,50001-75000,F,4,"Bachelors ",Skilled Manual,1,3
