TotalPurchase,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
32.71,00:00.0,00:00.0,M,25001-50000,F,0,High School,Skilled Manual,1,2
559.1918,00:00.0,00:00.0,M,0-25000,M,0,Partial College,Manual,1,1
2443.8,00:00.0,00:00.0,S,0-25000,F,0,Partial College,Manual,1,1
69.99,00:00.0,00:00.0,M,25001-50000,M,4,Graduate Degree,Clerical,1,0
1194.2,00:00.0,00:00.0,M,75001-100000,M,0,Partial College,Professional,1,2
60.98,00:00.0,00:00.0,M,75001-100000,F,4,Partial College,Professional,1,2
61,00:00.0,00:00.0,M,25001-50000,F,0,Partial College,Skilled Manual,1,1
3578.27,00:00.0,00:00.0,S,25001-50000,M,3,Partial College,Clerical,1,2
1666,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,1
7176.69,00:00.0,00:00.0,S,50001-75000,M,5,High School,Professional,1,2
24,00:00.0,00:00.0,M,0-25000,M,2,High School,Manual,1,2
13.5,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
0.01,00:00.0,00:00.0,M,25001-50000,F,1,Graduate Degree,Clerical,1,0
58.57,00:00.0,00:00.0,S,0-25000,F,2,High School,Manual,1,2
32.69,00:00.0,00:00.0,S,25001-50000,M,4,Partial College,Clerical,0,2
1666,00:00.0,00:00.0,S,25001-50000,F,2,Bachelors ,Skilled Manual,0,0
9.99,00:00.0,00:00.0,S,50001-75000,F,0,Partial College,Professional,0,2
1205.86,00:00.0,00:00.0,S,25001-50000,F,3,Partial College,Professional,0,2
2309.02,00:00.0,00:00.0,S,50001-75000,F,0,Partial College,Professional,0,2
1666,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
23.19,00:00.0,00:00.0,S,0-25000,M,2,High School,Manual,1,2
559.6775,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Clerical,1,1
539.99,00:00.0,00:00.0,M,50001-75000,F,2,Bachelors ,Skilled Manual,1,1
51.97,00:00.0,00:00.0,M,25001-50000,M,2,Partial College,Clerical,0,2
1114.48,00:00.0,00:00.0,M,50001-75000,F,3,Graduate Degree,Management,1,2
3578.27,00:00.0,00:00.0,S,25001-50000,M,0,High School,Skilled Manual,0,2
30,00:00.0,00:00.0,M,75001-100000,M,4,Bachelors ,Management,0,0
1236.3,00:00.0,00:00.0,S,0-25000,M,5,Partial High School,Manual,1,2
2071.4192,00:00.0,00:00.0,S,50001-75000,M,1,Graduate Degree,Professional,0,0
2299.99,00:00.0,00:00.0,M,75001-100000,M,5,Graduate Degree,Skilled Manual,1,0
50,00:00.0,00:00.0,S,25001-50000,M,0,High School,Manual,0,1
50,00:00.0,00:00.0,M,50001-75000,F,3,High School,Professional,1,0
1066.5,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,1
592.68,00:00.0,00:00.0,M,50001-75000,F,2,Partial College,Professional,1,2
480.575,00:00.0,00:00.0,M,25001-50000,F,2,Bachelors ,Management,1,1
3578.27,00:00.0,00:00.0,M,25001-50000,F,4,High School,Skilled Manual,1,2
30,00:00.0,00:00.0,S,0-25000,F,4,Partial High School,Manual,1,2
1879.16,00:00.0,00:00.0,S,0-25000,M,0,Partial College,Manual,1,1
2049.0964,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,1,1
4.99,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,2
6.01,00:00.0,00:00.0,M,50001-75000,F,0,Graduate Degree,Professional,1,0
4.99,00:00.0,00:00.0,S,25001-50000,F,2,High School,Skilled Manual,1,2
19.5,00:00.0,00:00.0,S,0-25000,F,0,High School,Manual,1,1
1651,00:00.0,00:00.0,S,25001-50000,F,0,Bachelors ,Professional,1,1
4687.0375,00:00.0,00:00.0,S,75001-100000,M,5,Partial College,Professional,0,2
13.03,00:00.0,00:00.0,M,75001-100000,F,5,Partial College,Professional,1,3
4.99,00:00.0,00:00.0,M,50001-75000,F,5,Bachelors ,Skilled Manual,1,3
120.12,00:00.0,00:00.0,M,0-25000,M,0,Partial High School,Manual,0,2
4703.0475,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,1
1506.4292,00:00.0,00:00.0,S,0-25000,M,1,High School,Manual,0,0
3.99,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,2
19.5,00:00.0,00:00.0,M,0-25000,F,1,Graduate Degree,Manual,1,0
65.48,00:00.0,00:00.0,M,50001-75000,F,2,Partial College,Professional,1,2
17.5,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
2358.07,00:00.0,00:00.0,M,0-25000,M,2,Partial College,Manual,0,1
5,00:00.0,00:00.0,M,25001-50000,F,2,High School,Skilled Manual,1,2
5,00:00.0,00:00.0,M,50001-75000,F,3,Graduate Degree,Management,1,2
65.95,00:00.0,00:00.0,M,greater than 100000,M,4,High School,Management,1,4
543.99,00:00.0,00:00.0,M,25001-50000,F,0,Graduate Degree,Skilled Manual,1,0
2299.99,00:00.0,00:00.0,S,50001-75000,F,5,Bachelors ,Management,1,3
1727.68,00:00.0,00:00.0,S,0-25000,M,1,Partial College,Manual,1,1
1143.19,00:00.0,00:00.0,M,50001-75000,F,2,Bachelors ,Management,1,0
6.49,00:00.0,00:00.0,M,0-25000,M,2,Partial High School,Clerical,1,2
23.19,00:00.0,00:00.0,S,25001-50000,F,2,Bachelors ,Professional,1,1
1000.435,00:00.0,00:00.0,M,25001-50000,F,2,High School,Professional,1,2
10,00:00.0,00:00.0,S,25001-50000,F,4,Bachelors ,Skilled Manual,0,2
29.99,00:00.0,00:00.0,M,50001-75000,F,2,Partial College,Professional,1,2
13.01,00:00.0,00:00.0,M,75001-100000,M,5,Bachelors ,Management,1,2
544.98,00:00.0,00:00.0,M,50001-75000,F,3,Partial College,Professional,1,2
515.5,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Clerical,0,1
1.01,00:00.0,00:00.0,S,0-25000,M,1,Graduate Degree,Clerical,0,0
21.01,00:00.0,00:00.0,M,75001-100000,M,3,Bachelors ,Management,1,1
2349.08,00:00.0,00:00.0,S,75001-100000,F,0,Bachelors ,Management,0,1
32.6,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Skilled Manual,0,1
2.7,00:00.0,00:00.0,M,25001-50000,M,2,Partial High School,Skilled Manual,0,2
563.18,00:00.0,00:00.0,S,25001-50000,F,3,Partial College,Clerical,1,0
2.98,00:00.0,00:00.0,M,50001-75000,M,3,Bachelors ,Professional,1,2
2181.565,00:00.0,00:00.0,M,75001-100000,M,0,Partial High School,Professional,1,4
49,00:00.0,00:00.0,S,25001-50000,F,2,High School,Skilled Manual,1,2
2347.9575,00:00.0,00:00.0,S,50001-75000,F,4,Graduate Degree,Management,1,2
2384.07,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,1
1015.92,00:00.0,00:00.0,S,75001-100000,F,0,Bachelors ,Management,0,1
144.46,00:00.0,00:00.0,M,75001-100000,M,5,High School,Professional,1,2
70.99,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Professional,1,3
583.3504,00:00.0,00:00.0,S,50001-75000,F,1,Bachelors ,Professional,1,1
4723.04,00:00.0,00:00.0,M,75001-100000,F,2,High School,Professional,0,1
71.94,00:00.0,00:00.0,M,25001-50000,F,0,High School,Skilled Manual,1,2
59.51,00:00.0,00:00.0,M,25001-50000,M,2,Partial College,Clerical,0,2
26.03,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Clerical,1,0
20,00:00.0,00:00.0,M,25001-50000,M,2,Partial College,Clerical,1,1
12.1,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Professional,1,2
2181.565,00:00.0,00:00.0,S,75001-100000,F,0,Bachelors ,Management,0,1
27.7,00:00.0,00:00.0,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
15,00:00.0,00:00.0,M,25001-50000,M,2,Bachelors ,Management,1,1
2071.4192,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
160.405,00:00.0,00:00.0,S,50001-75000,F,0,Partial College,Professional,1,2
49,00:00.0,00:00.0,M,0-25000,M,3,Partial College,Manual,0,2
155.01,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,1,2
2367.03,00:00.0,00:00.0,S,75001-100000,F,2,Partial College,Skilled Manual,0,2
30,00:00.0,00:00.0,M,greater than 100000,M,4,Bachelors ,Management,1,4
511,00:00.0,00:00.0,M,50001-75000,F,2,Bachelors ,Skilled Manual,1,0
723.35,00:00.0,00:00.0,S,0-25000,M,0,Partial College,Manual,0,1
19.2,00:00.0,00:00.0,M,0-25000,M,2,High School,Skilled Manual,1,2
769.48,00:00.0,00:00.0,M,0-25000,F,3,Partial High School,Clerical,0,2
19.5,00:00.0,00:00.0,S,75001-100000,M,4,High School,Professional,0,1
2.7,00:00.0,00:00.0,M,0-25000,M,4,High School,Skilled Manual,1,2
564.99,00:00.0,00:00.0,S,25001-50000,F,4,High School,Skilled Manual,1,2
1665.9975,00:00.0,00:00.0,M,75001-100000,M,0,Bachelors ,Professional,0,3
23.02,00:00.0,00:00.0,S,50001-75000,F,4,Graduate Degree,Skilled Manual,0,0
2299.98,00:00.0,00:00.0,M,greater than 100000,F,1,High School,Professional,1,4
24.99,00:00.0,00:00.0,M,greater than 100000,M,3,Bachelors ,Management,1,4
49,00:00.0,00:00.0,S,0-25000,M,0,High School,Manual,1,1
1647.0018,00:00.0,00:00.0,S,0-25000,M,1,High School,Manual,0,0
0.01,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Management,1,2
2838.97,00:00.0,00:00.0,M,25001-50000,M,0,Graduate Degree,Clerical,1,0
13.98,00:00.0,00:00.0,S,75001-100000,M,5,Bachelors ,Professional,1,3
3.99,00:00.0,00:00.0,S,25001-50000,M,0,Bachelors ,Professional,0,1
61,00:00.0,00:00.0,M,25001-50000,M,0,Graduate Degree,Skilled Manual,1,0
13.01,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Management,1,2
98.02,00:00.0,00:00.0,S,75001-100000,M,2,High School,Professional,1,1
498.98,00:00.0,00:00.0,M,50001-75000,M,0,Partial College,Skilled Manual,1,2
2049.0964,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Clerical,0,1
523.47,00:00.0,00:00.0,M,50001-75000,M,4,Bachelors ,Skilled Manual,1,2
498.9818,00:00.0,00:00.0,S,25001-50000,M,3,Partial College,Clerical,0,2
10.98,00:00.0,00:00.0,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
476.49,00:00.0,00:00.0,M,25001-50000,M,3,Graduate Degree,Clerical,0,0
10.01,00:00.0,00:00.0,M,75001-100000,M,4,Bachelors ,Management,1,1
39.01,00:00.0,00:00.0,S,greater than 100000,M,2,Graduate Degree,Management,0,2
24.99,00:00.0,00:00.0,M,75001-100000,M,4,Partial College,Professional,1,4
69.99,00:00.0,00:00.0,M,50001-75000,M,2,High School,Professional,0,2
498.98,00:00.0,00:00.0,S,0-25000,M,4,Partial High School,Manual,1,0
22.7,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,1
3578.27,00:00.0,00:00.0,S,50001-75000,M,1,Graduate Degree,Skilled Manual,1,0
1.7,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,0
1066.5,00:00.0,00:00.0,M,25001-50000,M,0,Bachelors ,Professional,1,0
0.01,00:00.0,00:00.0,S,25001-50000,M,0,High School,Manual,1,1
35,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Professional,0,3
23.52,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Skilled Manual,1,1
2821.02,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,0
13.01,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Skilled Manual,1,1
54.98,00:00.0,00:00.0,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
4.99,00:00.0,00:00.0,S,50001-75000,M,3,Bachelors ,Management,1,2
29.32,00:00.0,00:00.0,M,25001-50000,M,3,Bachelors ,Skilled Manual,1,2
2.7,00:00.0,00:00.0,S,75001-100000,M,1,Bachelors ,Management,0,4
543.99,00:00.0,00:00.0,S,25001-50000,M,1,Bachelors ,Clerical,0,0
2435.4,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,1
29.99,00:00.0,00:00.0,M,greater than 100000,M,1,Bachelors ,Management,1,3
3578.27,00:00.0,00:00.0,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
12.1,00:00.0,00:00.0,M,50001-75000,M,2,Partial High School,Skilled Manual,1,2
2363.06,00:00.0,00:00.0,M,50001-75000,M,2,Bachelors ,Skilled Manual,1,1
2408.07,00:00.0,00:00.0,M,25001-50000,M,0,Bachelors ,Clerical,0,0
15.49,00:00.0,00:00.0,M,50001-75000,M,2,Partial High School,Skilled Manual,1,2
21.03,00:00.0,00:00.0,M,0-25000,M,3,Partial College,Manual,0,2
35,00:00.0,00:00.0,S,75001-100000,M,5,Graduate Degree,Management,1,2
23.32,00:00.0,00:00.0,S,0-25000,M,0,High School,Manual,1,1
1380.105,00:00.0,00:00.0,M,25001-50000,M,0,Graduate Degree,Clerical,1,0
55.98,00:00.0,00:00.0,S,25001-50000,M,0,Partial High School,Clerical,0,2
2375.08,00:00.0,00:00.0,M,50001-75000,M,1,Partial College,Skilled Manual,1,1
19.69,00:00.0,00:00.0,S,50001-75000,M,4,Graduate Degree,Skilled Manual,1,0
2447.35,00:00.0,00:00.0,S,75001-100000,M,1,Graduate Degree,Management,1,0
1666,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Clerical,1,0
699.4975,00:00.0,00:00.0,S,25001-50000,M,0,Bachelors ,Professional,1,1
1130.99,00:00.0,00:00.0,M,50001-75000,M,2,High School,Professional,0,2
1863.38,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,1
1258.28,00:00.0,00:00.0,S,0-25000,M,0,High School,Manual,1,1
4,00:00.0,00:00.0,M,greater than 100000,M,3,High School,Professional,1,4
2.7,00:00.0,00:00.0,M,25001-50000,M,4,High School,Professional,1,2
2350.0018,00:00.0,00:00.0,S,greater than 100000,M,0,Partial High School,Professional,1,4
24.99,00:00.0,00:00.0,M,25001-50000,M,3,Graduate Degree,Clerical,1,0
24.99,00:00.0,00:00.0,S,25001-50000,M,2,Partial High School,Skilled Manual,0,2
498.98,00:00.0,00:00.0,M,25001-50000,M,0,Bachelors ,Clerical,1,0
2314.9918,00:00.0,00:00.0,S,greater than 100000,M,5,Partial College,Management,0,4
15.49,00:00.0,00:00.0,M,50001-75000,M,2,Partial High School,Skilled Manual,0,2
1704.99,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,1
2349.08,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,2
0.01,00:00.0,00:00.0,S,25001-50000,M,3,Partial College,Clerical,1,2
51.47,00:00.0,00:00.0,M,50001-75000,M,2,Partial High School,Skilled Manual,0,2
2049.0964,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
421.3936,00:00.0,00:00.0,S,0-25000,M,0,Partial College,Manual,0,1
30,00:00.0,00:00.0,M,0-25000,M,2,High School,Manual,1,0
24.99,00:00.0,00:00.0,M,50001-75000,M,4,Partial College,Professional,1,0
1552.595,00:00.0,00:00.0,M,0-25000,M,0,Partial College,Manual,1,1
13.01,00:00.0,00:00.0,S,50001-75000,M,1,Graduate Degree,Management,1,1
2379.97,00:00.0,00:00.0,S,25001-50000,M,4,Bachelors ,Skilled Manual,1,3
2375.08,00:00.0,00:00.0,S,50001-75000,M,2,Bachelors ,Skilled Manual,0,0
1647,00:00.0,00:00.0,M,50001-75000,M,4,Graduate Degree,Professional,1,0
69.99,00:00.0,00:00.0,M,25001-50000,M,1,Graduate Degree,Skilled Manual,0,0
38.56,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Skilled Manual,0,1
115.01,00:00.0,00:00.0,M,75001-100000,M,5,Bachelors ,Management,1,2
45,00:00.0,00:00.0,S,greater than 100000,M,4,Partial College,Management,0,2
69.99,00:00.0,00:00.0,S,25001-50000,M,0,Bachelors ,Professional,1,1
706.4518,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,1
5,00:00.0,00:00.0,M,0-25000,M,4,High School,Skilled Manual,1,2
1085.5,00:00.0,00:00.0,M,50001-75000,M,1,Graduate Degree,Skilled Manual,1,0
539.99,00:00.0,00:00.0,S,75001-100000,M,4,Bachelors ,Management,1,1
34.99,00:00.0,00:00.0,M,0-25000,M,2,Partial College,Manual,1,1
24.99,00:00.0,00:00.0,M,0-25000,M,0,Partial High School,Manual,1,2
1.6,00:00.0,00:00.0,M,75001-100000,M,3,Bachelors ,Skilled Manual,1,1
9.51,00:00.0,00:00.0,S,25001-50000,M,0,Partial College,Clerical,0,1
69.99,00:00.0,00:00.0,M,50001-75000,M,4,Bachelors ,Skilled Manual,1,3
24.32,00:00.0,00:00.0,S,50001-75000,M,4,Bachelors ,Management,0,2
2.7,00:00.0,00:00.0,M,greater than 100000,M,3,Partial College,Professional,1,4
84.98,00:00.0,00:00.0,S,greater than 100000,M,0,Graduate Degree,Management,0,3
28.99,00:00.0,00:00.0,M,75001-100000,M,4,Partial College,Professional,1,2
21.98,00:00.0,00:00.0,M,50001-75000,M,4,Bachelors ,Management,1,1
15.49,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Management,1,2
1218.85,00:00.0,00:00.0,S,50001-75000,M,1,Graduate Degree,Professional,0,0
12.97,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,0,2
1015.01,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,1,1
30,00:00.0,00:00.0,S,25001-50000,M,1,Partial College,Clerical,1,1
0.67,00:00.0,00:00.0,M,0-25000,M,2,Partial High School,Clerical,1,2
2384.07,00:00.0,00:00.0,M,50001-75000,M,5,Partial College,Professional,1,2
2435.4,00:00.0,00:00.0,M,greater than 100000,M,2,Partial College,Professional,1,2
120.055,00:00.0,00:00.0,S,greater than 100000,M,0,Partial College,Management,0,3
504.9975,00:00.0,00:00.0,S,0-25000,M,0,Bachelors ,Clerical,0,0
218,00:00.0,00:00.0,M,50001-75000,M,2,Graduate Degree,Management,1,2
32.69,00:00.0,00:00.0,S,greater than 100000,M,0,Bachelors ,Management,0,4
24.99,00:00.0,00:00.0,S,50001-75000,M,0,Partial College,Professional,1,2
21.98,00:00.0,00:00.0,M,75001-100000,M,4,Graduate Degree,Skilled Manual,1,0
2443.35,00:00.0,00:00.0,M,greater than 100000,M,0,High School,Management,1,4
1120.4882,00:00.0,00:00.0,M,greater than 100000,M,0,Partial College,Management,1,3
23.02,00:00.0,00:00.0,M,greater than 100000,M,4,Partial College,Professional,0,3
49,00:00.0,00:00.0,M,0-25000,M,4,High School,Skilled Manual,0,2
30,00:00.0,00:00.0,M,greater than 100000,M,1,Bachelors ,Management,1,0
505,00:00.0,00:00.0,S,25001-50000,M,4,Partial College,Clerical,1,2
2284.99,00:00.0,00:00.0,S,greater than 100000,M,1,Bachelors ,Management,0,2
29.99,00:00.0,00:00.0,M,25001-50000,M,3,Partial College,Professional,1,2
1651,00:00.0,00:00.0,S,0-25000,M,1,Partial College,Manual,1,0
1412.075,00:00.0,00:00.0,S,25001-50000,M,0,Graduate Degree,Skilled Manual,1,0
31,00:00.0,00:00.0,S,0-25000,M,0,Partial High School,Manual,1,2
4,00:00.0,00:00.0,M,50001-75000,M,1,Graduate Degree,Professional,1,0
30,00:00.0,00:00.0,M,25001-50000,M,2,High School,Clerical,0,2
23.19,00:00.0,00:00.0,M,0-25000,M,4,High School,Manual,0,2
539.99,00:00.0,00:00.0,S,25001-50000,M,3,Partial College,Clerical,1,0
1085.5,00:00.0,00:00.0,S,50001-75000,M,0,Graduate Degree,Professional,0,1
2375.08,00:00.0,00:00.0,S,75001-100000,M,0,Bachelors ,Management,0,1
1666,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,1,1
518.5,00:00.0,00:00.0,M,0-25000,M,0,Bachelors ,Clerical,1,0
24,00:00.0,00:00.0,S,0-25000,M,1,Graduate Degree,Clerical,0,0
17.5,00:00.0,00:00.0,M,0-25000,M,1,Bachelors ,Clerical,1,0
1700.9875,00:00.0,00:00.0,M,25001-50000,M,4,Graduate Degree,Clerical,1,0
734.5025,00:00.0,00:00.0,M,50001-75000,M,0,Partial College,Skilled Manual,1,2
128.94,00:00.0,00:00.0,M,greater than 100000,M,2,Graduate Degree,Management,1,3
530.94,00:00.0,00:00.0,M,25001-50000,M,3,Graduate Degree,Clerical,1,0
286.275,00:00.0,00:00.0,S,50001-75000,M,2,High School,Professional,0,2
1666,00:00.0,00:00.0,M,50001-75000,M,1,Bachelors ,Professional,1,1
456.085,00:00.0,00:00.0,M,25001-50000,M,1,Graduate Degree,Clerical,1,0
30,00:00.0,00:00.0,M,50001-75000,M,0,Graduate Degree,Professional,1,0
5,00:00.0,00:00.0,M,greater than 100000,M,2,Graduate Degree,Management,1,3
2314.99,00:00.0,00:00.0,M,75001-100000,M,1,Graduate Degree,Management,1,0
530.48,00:00.0,00:00.0,M,greater than 100000,M,2,Bachelors ,Management,1,3
30,00:00.0,00:00.0,M,25001-50000,M,0,Partial College,Skilled Manual,1,1
539.99,00:00.0,00:00.0,M,50001-75000,F,1,Bachelors ,Professional,0,1
1500.1164,00:00.0,00:00.0,M,50001-75000,M,4,Bachelors ,Professional,1,2
531,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Skilled Manual,1,0
557.49,00:00.0,00:00.0,S,0-25000,F,2,Partial College,Manual,0,1
45,00:00.0,00:00.0,S,75001-100000,M,0,Bachelors ,Management,1,1
50,00:00.0,00:00.0,M,50001-75000,M,0,Graduate Degree,Professional,1,0
2330.08,00:00.0,00:00.0,S,50001-75000,M,0,Graduate Degree,Professional,1,0
15.49,00:00.0,00:00.0,M,greater than 100000,M,1,Graduate Degree,Management,1,4
539.99,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,2
44.48,00:00.0,00:00.0,M,25001-50000,M,1,Partial College,Clerical,0,1
10.01,00:00.0,00:00.0,M,50001-75000,M,3,Graduate Degree,Management,1,2
2266.9775,00:00.0,00:00.0,M,50001-75000,M,3,High School,Professional,1,2
1903.36,00:00.0,00:00.0,S,0-25000,F,1,High School,Manual,1,0
21.49,00:00.0,00:00.0,S,50001-75000,F,2,Partial High School,Skilled Manual,1,2
764.4918,00:00.0,00:00.0,S,50001-75000,M,0,Graduate Degree,Skilled Manual,0,0
53.99,00:00.0,00:00.0,M,25001-50000,F,0,High School,Skilled Manual,0,2
4.99,00:00.0,00:00.0,S,25001-50000,M,0,Bachelors ,Professional,0,1
1085.5,00:00.0,00:00.0,S,0-25000,F,2,High School,Manual,1,1
2.7,00:00.0,00:00.0,M,50001-75000,M,4,Bachelors ,Management,1,2
1120.49,00:00.0,00:00.0,M,50001-75000,F,2,Graduate Degree,Management,1,1
4,00:00.0,00:00.0,M,50001-75000,M,1,Graduate Degree,Professional,1,0
515.93,00:00.0,00:00.0,S,25001-50000,F,3,Graduate Degree,Clerical,1,0
106.965,00:00.0,00:00.0,S,50001-75000,F,5,Bachelors ,Management,1,3
518.98,00:00.0,00:00.0,M,25001-50000,F,5,High School,Professional,1,3
326.6308,00:00.0,00:00.0,S,50001-75000,F,2,Graduate Degree,Professional,0,0
233.86,00:00.0,00:00.0,S,25001-50000,F,3,Partial College,Clerical,1,2
505,00:00.0,00:00.0,M,25001-50000,F,0,Bachelors ,Clerical,1,0
21.59,00:00.0,00:00.0,M,50001-75000,F,2,High School,Professional,1,2
2181.565,00:00.0,00:00.0,M,0-25000,M,0,Partial College,Manual,1,1
505,00:00.0,00:00.0,M,75001-100000,F,2,Bachelors ,Professional,1,0
1184.98,00:00.0,00:00.0,S,50001-75000,F,0,Graduate Degree,Professional,1,1
4737.52,00:00.0,00:00.0,M,75001-100000,F,0,Bachelors ,Professional,1,3
23.51,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Professional,1,2
25,00:00.0,00:00.0,S,50001-75000,F,4,Graduate Degree,Skilled Manual,0,0
2363.06,00:00.0,00:00.0,S,50001-75000,F,1,Bachelors ,Professional,1,1
46,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
19,00:00.0,00:00.0,M,0-25000,F,2,Partial College,Manual,1,0
337.5,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,2
1.6,00:00.0,00:00.0,M,25001-50000,F,3,Partial College,Clerical,1,1
2261.98,00:00.0,00:00.0,M,50001-75000,F,4,Graduate Degree,Management,1,2
32.69,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
26.94,00:00.0,00:00.0,M,50001-75000,F,2,High School,Professional,1,2
30,00:00.0,00:00.0,S,0-25000,F,0,High School,Manual,1,1
190.3736,00:00.0,00:00.0,S,50001-75000,F,3,Bachelors ,Skilled Manual,1,1
25,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Skilled Manual,1,1
10.01,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Skilled Manual,0,1
0.5,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,1
21.98,00:00.0,00:00.0,M,75001-100000,F,3,High School,Professional,1,3
21.49,00:00.0,00:00.0,S,greater than 100000,F,4,Partial College,Professional,0,4
19.33,00:00.0,00:00.0,M,50001-75000,F,0,Bachelors ,Professional,1,4
2259.99,00:00.0,00:00.0,M,50001-75000,F,4,Graduate Degree,Management,0,2
466.47,00:00.0,00:00.0,M,0-25000,F,2,Partial College,Manual,1,1
4.99,00:00.0,00:00.0,S,25001-50000,F,0,High School,Skilled Manual,1,2
34.3,00:00.0,00:00.0,M,75001-100000,F,4,Bachelors ,Management,1,1
4.99,00:00.0,00:00.0,M,greater than 100000,F,0,High School,Professional,1,4
120.27,00:00.0,00:00.0,S,25001-50000,F,0,Partial High School,Clerical,0,2
3578.27,00:00.0,00:00.0,S,75001-100000,F,4,Bachelors ,Management,0,2
2071.4192,00:00.0,00:00.0,M,50001-75000,F,1,Partial College,Skilled Manual,1,1
31,00:00.0,00:00.0,M,75001-100000,F,5,Bachelors ,Management,0,2
62.49,00:00.0,00:00.0,M,greater than 100000,F,3,Bachelors ,Management,1,4
25.49,00:00.0,00:00.0,S,75001-100000,F,0,Bachelors ,Professional,1,2
1369.06,00:00.0,00:00.0,S,50001-75000,F,4,Bachelors ,Professional,1,3
27.69,00:00.0,00:00.0,S,0-25000,F,0,High School,Manual,1,2
5,00:00.0,00:00.0,S,0-25000,F,2,High School,Manual,0,2
39.48,00:00.0,00:00.0,M,50001-75000,F,5,Partial College,Skilled Manual,0,2
87.95,00:00.0,00:00.0,M,25001-50000,F,2,High School,Professional,1,2
2357.6918,00:00.0,00:00.0,S,50001-75000,F,0,Bachelors ,Professional,0,2
1066.5,00:00.0,00:00.0,M,25001-50000,F,0,Bachelors ,Professional,0,0
108.38,00:00.0,00:00.0,S,50001-75000,F,3,High School,Professional,1,0
21.01,00:00.0,00:00.0,S,50001-75000,F,3,Bachelors ,Professional,1,1
0.01,00:00.0,00:00.0,M,25001-50000,F,1,Bachelors ,Skilled Manual,1,1
4.99,00:00.0,00:00.0,S,25001-50000,M,2,Partial College,Clerical,0,2
1101.4875,00:00.0,00:00.0,S,50001-75000,M,2,Bachelors ,Professional,1,1
